text,label
"Breaking: Government launches new healthcare scheme for citizens",1
"Scientists discover water on Mars after new mission",1
"Local man claims he can become invisible at night",0
"Fake news spreads that eating chocolate cures cancer",0
"Stock markets rise as economy shows signs of recovery",1
"Aliens landed in Mumbai and spoke to officials",0
"New education policy aims to improve digital learning",1
"Social media rumor says phones will explode during charging",0
"Researchers develop new AI tool for healthcare diagnosis",1
"Drinking salt water daily will make you immortal",0
"Government reduces fuel prices across the country",1
"Man builds time machine using household items",0
"Tech company releases new smartphone with advanced features",1
"Fake viral post claims sun will not rise tomorrow",0
"Scientists find new species in Amazon rainforest",1
