text,label
"breaking government launches new healthcare scheme citizens",1
"scientists discover water mars new mission",1
"local man claims become invisible night",0
"fake news spreads eating chocolate cures cancer",0
"stock markets rise economy shows signs recovery",1
"aliens landed mumbai spoke officials",0
"new education policy aims improve digital learning",1
"social media rumor says phones explode charging",0
"researchers develop new ai tool healthcare diagnosis",1
"drinking salt water daily make immortal",0
"government reduces fuel prices across country",1
"man builds time machine using household items",0
"tech company releases new smartphone advanced features",1
"fake viral post claims sun rise tomorrow",0
"scientists find new species amazon rainforest",1
